idx	18BR003	11BR024	11BR042	01BR033	03BR002	11BR023	11BR036	01BR018	14BR008	11BR004	15BR003	06BR005	11BR016	20BR005	11BR080	18BR002	11BR018	03BR010	22BR006	18BR007	11BR025	05BR026	11BR055	05BR029	11BR043	05BR009	11BR030	11BR038	20BR008	03BR004	11BR020	11BR056	11BR019	11BR010	01BR027	11BR060	11BR072	18BR017	20BR001	14BR005	05BR001	03BR005	03BR013	21BR010	11BR053	11BR017	20BR002	05BR003	11BR031	09BR007	11BR059	11BR015	01BR030	06BR014	18BR009	11BR028	11BR050	11BR049	11BR075	11BR054	22BR005	13BR009	05BR016	11BR014	18BR016	06BR003	11BR051	06BR006	14BR014	20BR007	09BR005	20BR006	18BR010	16BR012	11BR013	11BR012	09BR004	11BR032	18BR019	11BR027	11BR003	11BR074	01BR001	05BR038	01BR017	01BR015	11BR022	01BR025	11BR009	11BR006	11BR011	05BR005	11BR058	11BR040	11BR073	01BR032	01BR031	18BR004	11BR047	18BR006	11BR044
hsa-miR-22-3p	14.9687	15.3871	16.1732	15.12	15.2049	15.8248	14.8814	15.662	13.6809	15.768	15.2112	15.4871	15.3014	16.2042	15.2906	16.2754	14.8408	14.6416	15.2914	15.6093	14.642	16.2325	15.624	15.1796	15.2603	15.4424	15.7666	15.5469	16.2726	15.8943	15.7615	15.6981	14.7581	15.5378	15.1958	16.0272	14.9187	16.3771	15.202	15.0341	16.2417	15.5658	15.1397	15.3079	14.9011	16.4898	15.0997	15.5052	15.157	15.7603	15.409	13.7822	15.672	14.5374	15.2854	15.446	15.5692	15.1056	14.8239	14.9188	15.0562	15.516	16.1465	16.0847	15.7983	15.459	16.2846	15.3496	15.2527	16.1027	16.1567	15.1697	15.4068	15.9645	14.1854	15.9593	12.38	15.3667	14.8653	14.8456	15.7593	15.5854	15.3349	14.3995	15.9319	15.0858	15.3985	15.1865	13.6301	15.0759	15.7469	14.6949	16.489	15.7974	15.1296	15.052	15.9494	15.3432	15.5453	15.4794	15.271
hsa-miR-22-5p	4.3037	4.6401	5.323	4.8413	5.3119	5.4391	5.0946	5.6752	4.3404	5.896	4.5151	4.9483	3.9065	4.5734	6.148	5.69	3.1749	3.4486	4.0615	4.5879	4.1592	5.2523	5.0751	3.8564	4.6425	4.3748	4.4541	5.2165	5.162	4.7949	5.0049	4.3315	3.7509	4.8476	5.1616	5.1083	4.7066	5.2056	4.7718	4.6489	6.1593	4.8938	4.6605	4.5144	3.7239	5.9399	4.409	4.7028	4.9428	5.1623	4.2327	2.732	5.5263	5.4413	3.7714	4.1728	4.9981	5.3738	5.1185	3.6308	4.1137	5.7514	5.0407	5.4858	4.8351	4.8518	5.0169	4.2981	5.3347	4.9275	4.6439	3.5302	4.4869	5.0696	3.9512	4.9695	4.0501	4.6234	4.0364	3.1144	5.2808	5.2108	5.6437	5.9386	5.6881	4.5249	5.0442	5.3925	3.6132	4.0214	4.9209	5.5978	4.6765	4.7706	4.47	5.396	5.7595	4.4047	4.9914	4.7937	5.0649
hsa-miR-221-3p	10.0507	11.9207	11.2725	10.8659	11.079	11.9053	9.7717	11.7115	9.6885	11.0125	9.8488	12.8136	10.7697	11.7266	11.7617	11.8256	9.9984	9.7159	10.7866	11.0058	10.2658	11.4233	10.9344	9.8373	11.5389	10.1066	11.6482	11.4582	11.6907	11.239	11.8522	10.5065	10.2133	10.8026	11.428	11.218	10.2778	11.9524	10.1813	10.2338	11.319	10.2146	10.2474	10.4885	10.9744	10.7814	11.4517	10.6978	10.7183	11.2452	11.1173	9.1182	11.7516	10.4188	10.9986	10.2943	10.601	9.2801	10.6581	9.3326	11.1349	11.0862	15.2933	10.6143	10.0086	10.4347	11.2488	10.0101	10.9951	11.5592	9.5923	11.5618	10.5095	9.8384	9.2807	11.1082	12.4008	10.569	10.3417	9.9007	11.5125	10.8089	11.5838	10.7393	10.927	11.0031	10.9628	11.0239	9.7747	10.8845	11.3868	11.93	10.8324	11.0571	10.9759	8.6115	12.0122	14.1734	10.56	11.2577	9.8005
hsa-miR-221-5p	2.7539	4.8283	5.5207	4.87	5.0031	4.6264	4.389	5.014	4.214	4.636	3.9178	6.0857	5.0505	4.7772	4.3021	4.6493	3.9676	2.4796	4.4799	4.4542	3.2649	5.0236	5.2801	3.7196	5.0065	4.6676	5.3761	5.0665	5.162	4.7374	4.6822	4.8259	3.628	4.3622	5.1899	3.9355	4.6165	5.7905	4.1785	3.0616	4.8251	3.8565	3.1589	4.8865	4.1312	3.1471	4.4788	4.9455	3.8418	5.2238	5.333	3.6191	4.4352	5.1386	3.9665	4.3792	5.4948	3.7421	4.3229	3.4753	4.4236	5.3403	8.1933	4.5526	4.8045	3.595	5.352	3.9827	5.0942	4.674	4.5574	4.2997	3.5001	3.5005	2.5728	4.0541	6.078	5.2501	4.6017	3.9068	4.7444	4.8166	5.1823	4.3034	4.0989	4.9696	4.6767	5.0504	2.6176	4.2628	4.5216	5.6976	5.4186	4.873	4.3599	2.7032	5.0337	5.7667	4.9465	4.2892	3.93
hsa-miR-222-3p	8.6203	10.6646	9.4546	8.8841	9.5286	10.5366	8.2969	9.8491	8.1203	9.8897	8.6812	11.3135	9.7084	10.6386	10.1251	10.5642	8.9545	8.3537	9.5583	9.8938	8.8136	9.7493	9.2571	8.8409	10.1216	9.0188	10.4145	9.7392	9.9081	10.1513	10.3452	8.9661	8.6926	9.5543	9.415	9.7852	8.4667	10.2242	8.8002	8.8452	10.1409	9.0007	9.2638	8.5248	9.4517	9.3266	9.9577	9.5968	8.9941	9.5075	9.5264	7.6259	9.8255	9.0667	9.6892	8.9387	9.4429	7.8878	8.9642	8.07	9.8904	10.0765	13.6555	8.892	8.5238	8.8658	9.624	8.8698	9.9062	10.4356	8.8399	10.1424	9.1292	8.4917	7.5629	9.4242	10.7186	9.0306	8.6924	9.336	10.7103	9.2149	9.3282	9.1974	9.0505	9.6052	9.4042	8.9521	8.5971	9.6748	10.1031	10.3259	9.5024	9.4724	9.7046	6.6961	10.0266	13.0546	8.8833	9.8137	8.8126
hsa-miR-222-5p	0	0	0	1.1062	0.5363	0.9347	0.9982	1.258	0.3597	0.3986	0.2616	0.7799	0.6025	1.0903	0.6997	0	0.5582	0	0.5808	0	0	0.4845	0	0	0	0.7808	0.2844	0.6082	1.2778	0	0.7783	0.2699	0	0.2896	0	0.4608	0.2334	0.998	1.0169	0.4939	0	0	0	1.4228	0.9693	0.4994	0	1.1326	1.0187	0.6037	0.4551	0	0.819	1.1207	0.4808	0.4815	0.8333	0.3807	0.8037	0	0.635	0.8008	2.6598	0	0.9985	0	0.4136	0.7171	1.0657	0.8997	0	0.9295	0	0	0	0.92	0.2375	0.573	0.8777	1.2146	0.8738	0.694	0	0.3706	1.0536	0.5013	0	1.076	0.4017	0.9334	0	0.4705	0	0.8503	0.3016	0	1.3086	0.7358	0	0.8627	0.6505
hsa-miR-223-3p	5.3546	4.4493	5.28	6.1327	5.1927	5.8685	6.4102	8.0931	5.4517	9.5751	4.7249	5.8249	6.2706	4.9663	8.2122	5.2917	5.5198	4.0892	4.5426	4.7863	4.3741	6.0013	4.0919	3.9814	5.9381	6.1279	6.8505	8.5623	5.3537	4.4338	6.749	4.9073	2.8543	4.4961	5.1899	4.0048	4.7543	6.0941	6.033	6.1292	6.8602	6.1209	5.8207	4.2428	4.5104	5.0009	4.8603	5.7407	5.1653	5.2238	5.7357	2.8023	7.0408	4.0823	5.7757	4.108	7.4016	6.3774	5.0225	3.1029	4.9216	4.9393	4.4069	5.3334	4.2299	4.2327	5.5993	5.642	6.9066	4.641	4.0244	3.5302	4.2667	2.6849	4.2687	4.795	6.0432	5.1447	4.9297	3.9568	6.6919	4.8061	6.7465	6.3021	6.7767	5.5835	5.0238	5.1438	4.3636	7.4343	5.4044	5.6541	4.2101	6.1137	6.3846	3.5497	8.3872	3.0563	4.1849	4.8357	5.4691
hsa-miR-223-5p	0.3812	1.1098	1.1214	0.6566	1.486	2.4744	1.3198	1.9197	0.8872	3.779	0.4829	1.6558	0.6025	0.2938	3.2368	1.0586	0.9597	0.8179	0.9937	1.0453	0.4424	1.5828	0.9325	1.3209	1.5741	1.4829	2.5878	3.648	0.6876	0	0.7783	0.8663	1.0702	1.0784	0.774	0.8095	0.7676	1.5823	1.2999	1.7864	2.055	1.1194	1.5767	1.0846	1.1357	0.4994	0.8824	1.7592	0	0.8313	0	0.4136	1.7192	0.5882	1.1286	0.4815	1.8711	1.4119	1.5181	0	1.0745	1.3127	0.8884	0.3571	0.4846	0.4178	1.6591	1.1939	2.0347	0	0	0	0	1.0608	0	0.92	1.052	1.3003	0.7398	0.8419	2.5836	1.2877	1.4676	1.6089	2.4067	0	0.5496	0	0.7156	2.6913	1.1968	0	0.9422	1.5885	2.0083	0	1.6851	0.289	1.3904	0.348	1.0972
hsa-miR-224-3p	2.5456	3.3597	3.7757	1.1062	0.5363	1.2432	6.8103	1.6264	1.2726	2.8805	1.4798	1.2833	5.3362	4.7166	1.5224	1.2349	2.5171	0.8179	1.8654	0	0	2.8045	0.6832	1.5225	0.8004	1.0546	3.9834	2.7587	1.7834	3.4281	4.0335	1.7944	0	3.9076	1.6462	4.7531	1.9947	0	0.6644	0	4.4618	2.65	2.5746	0.6419	4.3837	2.2395	0.7072	2.5286	1.3443	1.3554	1.6893	0	0	0.7408	2.1888	1.255	2.2004	0.3807	0.8037	0.5908	0.635	2.3452	1.5435	1.0864	1.1359	0.4178	0.4136	1.5517	2.3243	2.1579	0.978	2.3844	1.9172	1.8934	1.3351	1.4772	0.7787	1.3003	1.5897	0.8419	3.0861	0.8668	2.4367	0	2.6732	2.1124	1.9192	2.1126	0	2.1414	2.0055	0.4705	3.0116	2.6825	0.3016	0	3.3019	0.9161	0.9803	1.6702	0.8911
hsa-miR-224-5p	7.4072	8.7988	10.424	5.8596	2.8687	2.5881	13.2782	8.4893	4.3604	8.4877	5.6694	4.6518	10.6119	10.2667	8.6355	5.3504	4.3483	4.1525	4.5323	4.0533	2.6742	6.6435	5.6887	7.6282	4.9499	5.1916	10.5873	7.0568	7.0362	9.2763	8.6897	5.9661	3.3454	9.29	7.8915	10.5325	5.7368	5.244	3.7472	3.9345	11.322	8.1447	5.8947	4.0365	10.1888	7.4523	3.3316	6.7108	5.376	5.3113	4.5392	3.8019	4.0254	4.0823	4.8421	3.5962	6.4787	4.0879	4.9975	3.3734	3.6568	8.2893	4.841	3.8278	4.6294	4.3081	3.7317	6.4687	7.3517	7.383	4.1479	8.1504	3.7756	7.8835	3.8017	4.2696	5.5919	5.5644	3.8479	3.3568	10.0123	4.5763	9.1288	5.1522	9.427	7.0156	5.6877	6.6061	4.1713	6.2404	4.6755	5.4012	8.0373	6.0007	4.6002	2.7713	9.4213	4.7037	5.118	5.4718	3.2972
