outcome,type,var,HR,lo,hi,p,n,docx_HR,docx_lo,docx_hi,direction_match,sig_match
DSS,multivariate,PD_HC,3.1167354788953925,1.104124778779613,8.797954934171665,0.03178969384912495,58,13.115,2.517,68.348,True,True
DSS,multivariate,LVI,1.7093261148003573,0.6620090123800315,4.4135286863152325,0.26799219146846626,58,6.158,1.784,21.253,True,False
OS,univariate,tumor_size,1.4900286666402218,1.2915471993767533,1.7190122269484271,4.560506317065857e-08,133,,,,False,False
OS,univariate,DOI,1.0730088691992334,1.046782887452779,1.0998919137681793,2.386193738880957e-08,133,,,,False,False
OS,univariate,LN_count,1.1055559768084113,1.066784499621429,1.1457365740602183,3.6022824273358014e-08,129,,,,False,False
OS,univariate,LN_deposit,1.0317734907416114,0.9913876522212315,1.0738045141191357,0.12468970124373113,58,,,,False,True
OS,univariate,ENE,1.414609248242256,0.678327059980251,2.9500803421741453,0.35499108266309165,58,,,,False,True
OS,univariate,PD_HC,5.465653597835854,2.997779964666166,9.965164089307244,2.979664899642647e-08,133,,,,False,False
OS,univariate,PNI,2.7606091588281463,1.3915070997595054,5.4767689860317486,0.0036701801064346535,133,,,,False,False
OS,univariate,LVI,3.198685274449096,1.6707090350837428,6.124098972424987,0.00045015522674735883,133,,,,False,False
OS,univariate,WPOI5,1.7745376063591503,0.8959930524577147,3.5145180063005848,0.09997397631803082,133,,,,False,True
OS,univariate,budding,1.7475656158717003,0.9655651722189977,3.162899480682975,0.06515440565162833,133,,,,False,True
OS,multivariate,PD_HC,5.465653597835854,2.997779964666166,9.965164089307244,2.979664899642647e-08,133,3.372,1.631,6.97,True,True
LRRFS,univariate,tumor_size,1.1010700038904566,0.9257913862403423,1.3095338447581903,0.2764344704867725,133,1.098,0.922,1.306,True,True
LRRFS,univariate,DOI,1.0408789174911488,1.0100592283501264,1.0726390002369115,0.00898452967424421,133,1.039,1.009,1.071,True,True
LRRFS,univariate,LN_count,1.0400218719643783,0.9930480778168708,1.0892176505111342,0.09608758251429869,129,,,,False,True
LRRFS,univariate,LN_deposit,1.0560097154985024,1.0140912312765844,1.0996609425597914,0.00836275358932465,58,1.057,1.016,1.1,True,True
LRRFS,univariate,ENE,1.6453381316606333,0.7362397641100547,3.676978206642795,0.22487901046070652,58,2.26,1.168,4.372,True,False
LRRFS,univariate,PD_HC,3.363688195101657,1.8038224462804238,6.272456747168837,0.00013594441488213427,133,3.281,1.759,6.118,True,True
LRRFS,univariate,PNI,1.9451173111088538,0.9300390479576848,4.068088713354195,0.077177169574628,133,,,,False,True
LRRFS,univariate,LVI,1.5999904264072782,0.7400646121832613,3.459116031832396,0.23218077967659248,133,,,,False,True
LRRFS,univariate,WPOI5,0.9176365486653628,0.4080917819945728,2.0634006186816016,0.8353039521725714,133,,,,False,True
LRRFS,univariate,budding,1.427646278932183,0.7847623915184445,2.597186001491771,0.24357100868620968,133,,,,False,True
LRRFS,multivariate,LN_deposit,1.0560097154985024,1.0140912312765844,1.0996609425597914,0.00836275358932465,58,1.073,1.014,1.135,True,True
