method,y,seed,n_valid,n_unc,C_index,spearman_rho,RMSE_logtime
TabICL_naive,PFS,777,133,61,0.5919,0.0965,1.396
TabICL_uncensored,PFS,42,133,61,0.5778,0.1893,1.6702
TabICL_uncensored,PFS,123,133,61,0.4694,0.1799,1.6457
TabICL_uncensored,PFS,2026,133,61,0.4865,0.0852,1.6452
TabICL_uncensored,PFS,777,133,61,0.5379,0.1542,1.6497
AFT_LogNormal,DSS,42,133,28,0.6666,0.1984,2.2278
AFT_LogNormal,DSS,123,133,28,0.6806,0.2047,1.999
AFT_LogNormal,DSS,2026,133,28,0.745,0.5938,1.593
AFT_LogNormal,DSS,777,133,28,0.6964,0.3254,1.9061
AFT_Weibull,DSS,42,133,28,0.6525,0.222,2.9262
AFT_Weibull,DSS,123,133,28,0.6912,0.2055,1.9948
AFT_Weibull,DSS,2026,133,28,0.7334,0.5652,1.751
AFT_Weibull,DSS,777,133,28,0.6744,0.3221,2.4526
Lasso_std_naive,DSS,42,133,28,0.6528,0.2176,1.0064
Lasso_std_naive,DSS,123,133,28,0.7042,0.143,0.9483
Lasso_std_naive,DSS,2026,133,28,0.7073,0.4582,0.8259
Lasso_std_naive,DSS,777,133,28,0.6679,0.1564,0.9834
Lasso_std_IPCW,DSS,42,133,28,0.633,0.0381,0.7079
Lasso_std_IPCW,DSS,123,133,28,0.627,-0.169,0.8308
Lasso_std_IPCW,DSS,2026,133,28,0.6863,0.0318,0.7785
Lasso_std_IPCW,DSS,777,133,28,0.566,-0.3262,0.9372
Lasso_power_naive,DSS,42,133,28,0.6474,0.2209,1.0139
Lasso_power_naive,DSS,123,133,28,0.6905,0.0941,0.9685
Lasso_power_naive,DSS,2026,133,28,0.7072,0.4752,0.8224
Lasso_power_naive,DSS,777,133,28,0.6559,0.1002,0.9988
Lasso_power_IPCW,DSS,42,133,28,0.604,-0.0129,0.7319
Lasso_power_IPCW,DSS,123,133,28,0.5975,-0.1412,0.8106
Lasso_power_IPCW,DSS,2026,133,28,0.6662,-0.1736,0.8434
Lasso_power_IPCW,DSS,777,133,28,0.579,-0.3418,0.866
Ridge_std_naive,DSS,42,133,28,0.6045,0.1435,1.3577
Ridge_std_naive,DSS,123,133,28,0.658,0.1259,1.0761
Ridge_std_naive,DSS,2026,133,28,0.6974,0.4061,0.9355
Ridge_std_naive,DSS,777,133,28,0.6792,0.2074,0.9573
Ridge_std_IPCW,DSS,42,133,28,0.5017,-0.2538,1.1742
Ridge_std_IPCW,DSS,123,133,28,0.5857,-0.3647,0.9596
Ridge_std_IPCW,DSS,2026,133,28,0.6282,-0.3254,1.0525
Ridge_std_IPCW,DSS,777,133,28,0.5929,-0.1325,1.0537
Ridge_power_naive,DSS,42,133,28,0.6073,0.098,1.3358
Ridge_power_naive,DSS,123,133,28,0.6618,0.0653,1.057
Ridge_power_naive,DSS,2026,133,28,0.6813,0.4042,0.9572
Ridge_power_naive,DSS,777,133,28,0.6816,0.1323,0.9701
Ridge_power_IPCW,DSS,42,133,28,0.5051,-0.2678,1.1599
Ridge_power_IPCW,DSS,123,133,28,0.5853,-0.4217,0.9188
Ridge_power_IPCW,DSS,2026,133,28,0.6323,-0.3175,1.0374
Ridge_power_IPCW,DSS,777,133,28,0.587,-0.1981,1.0723
DecisionTree_std_naive,DSS,42,133,28,0.5583,0.3016,1.1159
DecisionTree_std_naive,DSS,123,133,28,0.6696,0.5515,0.8862
DecisionTree_std_naive,DSS,2026,133,28,0.6056,-0.0281,1.1259
DecisionTree_std_naive,DSS,777,133,28,0.5704,0.1422,1.2145
DecisionTree_std_IPCW,DSS,42,133,28,0.7221,0.1168,0.6604
DecisionTree_std_IPCW,DSS,123,133,28,0.6258,-0.0317,0.7843
DecisionTree_std_IPCW,DSS,2026,133,28,0.5869,-0.1557,0.8822
DecisionTree_std_IPCW,DSS,777,133,28,0.5608,-0.1026,0.8626
DecisionTree_power_naive,DSS,42,133,28,0.5384,0.2735,1.1449
DecisionTree_power_naive,DSS,123,133,28,0.6727,0.5515,0.8862
DecisionTree_power_naive,DSS,2026,133,28,0.6162,-0.0256,1.1152
DecisionTree_power_naive,DSS,777,133,28,0.5728,0.1422,1.2145
DecisionTree_power_IPCW,DSS,42,133,28,0.7221,0.1168,0.6604
DecisionTree_power_IPCW,DSS,123,133,28,0.6241,-0.0317,0.7843
DecisionTree_power_IPCW,DSS,2026,133,28,0.5869,-0.1557,0.8822
DecisionTree_power_IPCW,DSS,777,133,28,0.5577,-0.1026,0.8626
TabICL_naive,DSS,42,133,28,0.6611,0.1191,1.4029
TabICL_naive,DSS,123,133,28,0.6991,0.2283,1.3994
TabICL_naive,DSS,2026,133,28,0.7019,0.3899,1.4187
TabICL_naive,DSS,777,133,28,0.6535,-0.0713,1.432
TabICL_uncensored,DSS,42,133,28,0.5374,-0.2058,1.6469
TabICL_uncensored,DSS,123,133,28,0.5603,-0.1967,1.6333
TabICL_uncensored,DSS,2026,133,28,0.6302,-0.2442,1.7621
TabICL_uncensored,DSS,777,133,28,0.5603,-0.2524,1.6261
AFT_LogNormal,LRRFS,42,133,44,0.516,-0.0466,2.496
AFT_LogNormal,LRRFS,123,133,44,0.5113,-0.197,2.4363
AFT_LogNormal,LRRFS,2026,133,44,0.5737,-0.0136,2.4616
AFT_LogNormal,LRRFS,777,133,44,0.509,-0.0686,2.5254
AFT_Weibull,LRRFS,42,133,44,0.5141,-0.0555,2.699
AFT_Weibull,LRRFS,123,133,44,0.4961,-0.3139,2.6
AFT_Weibull,LRRFS,2026,133,44,0.5765,-0.0368,2.5332
AFT_Weibull,LRRFS,777,133,44,0.5106,-0.0372,2.6456
Lasso_std_naive,LRRFS,42,133,44,0.4772,0.1119,1.4239
Lasso_std_naive,LRRFS,123,133,44,0.5237,-0.0923,1.4102
Lasso_std_naive,LRRFS,2026,133,44,0.5656,0.0728,1.4289
Lasso_std_naive,LRRFS,777,133,44,0.5469,-0.0244,1.3594
Lasso_std_IPCW,LRRFS,42,133,44,0.4829,-0.0524,1.0535
Lasso_std_IPCW,LRRFS,123,133,44,0.5519,0.114,0.8605
Lasso_std_IPCW,LRRFS,2026,133,44,0.5386,0.0525,0.993
Lasso_std_IPCW,LRRFS,777,133,44,0.4825,0.2147,0.9083
Lasso_power_naive,LRRFS,42,133,44,0.4882,0.1233,1.4178
Lasso_power_naive,LRRFS,123,133,44,0.5226,-0.1411,1.4225
Lasso_power_naive,LRRFS,2026,133,44,0.5583,0.0357,1.4581
Lasso_power_naive,LRRFS,777,133,44,0.548,-0.0209,1.3745
Lasso_power_IPCW,LRRFS,42,133,44,0.4762,0.0184,1.0025
Lasso_power_IPCW,LRRFS,123,133,44,0.5425,0.1328,0.8472
Lasso_power_IPCW,LRRFS,2026,133,44,0.5529,0.037,1.0121
Lasso_power_IPCW,LRRFS,777,133,44,0.4964,0.2244,0.8726
Ridge_std_naive,LRRFS,42,133,44,0.4898,0.0253,1.5728
Ridge_std_naive,LRRFS,123,133,44,0.527,-0.034,1.5493
Ridge_std_naive,LRRFS,2026,133,44,0.5761,0.0043,1.6874
Ridge_std_naive,LRRFS,777,133,44,0.4658,0.0428,1.6651
Ridge_std_IPCW,LRRFS,42,133,44,0.5279,-0.0101,1.3456
Ridge_std_IPCW,LRRFS,123,133,44,0.476,-0.0663,1.2739
Ridge_std_IPCW,LRRFS,2026,133,44,0.5441,0.0748,1.2913
Ridge_std_IPCW,LRRFS,777,133,44,0.4443,0.2714,1.1777
Ridge_power_naive,LRRFS,42,133,44,0.4746,-0.0009,1.5871
Ridge_power_naive,LRRFS,123,133,44,0.505,-0.0965,1.6205
Ridge_power_naive,LRRFS,2026,133,44,0.5674,0.008,1.7471
Ridge_power_naive,LRRFS,777,133,44,0.4779,0.0395,1.6472
Ridge_power_IPCW,LRRFS,42,133,44,0.5165,-0.0994,1.3655
Ridge_power_IPCW,LRRFS,123,133,44,0.4707,-0.0349,1.2763
Ridge_power_IPCW,LRRFS,2026,133,44,0.5807,0.0952,1.3329
Ridge_power_IPCW,LRRFS,777,133,44,0.4623,0.2777,1.164
DecisionTree_std_naive,LRRFS,42,133,44,0.4832,0.1592,1.5498
DecisionTree_std_naive,LRRFS,123,133,44,0.5173,0.0298,1.459
DecisionTree_std_naive,LRRFS,2026,133,44,0.541,0.1527,1.4174
DecisionTree_std_naive,LRRFS,777,133,44,0.4565,-0.2452,1.5247
DecisionTree_std_IPCW,LRRFS,42,133,44,0.5299,0.0474,1.1079
DecisionTree_std_IPCW,LRRFS,123,133,44,0.5411,0.3635,1.0635
DecisionTree_std_IPCW,LRRFS,2026,133,44,0.559,0.0432,1.1448
DecisionTree_std_IPCW,LRRFS,777,133,44,0.5145,0.1733,0.9702
DecisionTree_power_naive,LRRFS,42,133,44,0.4832,0.1592,1.5498
DecisionTree_power_naive,LRRFS,123,133,44,0.5139,0.0199,1.472
DecisionTree_power_naive,LRRFS,2026,133,44,0.5453,0.1527,1.4174
DecisionTree_power_naive,LRRFS,777,133,44,0.4559,-0.2167,1.5161
DecisionTree_power_IPCW,LRRFS,42,133,44,0.5273,0.0474,1.1079
DecisionTree_power_IPCW,LRRFS,123,133,44,0.5418,0.3645,1.0635
DecisionTree_power_IPCW,LRRFS,2026,133,44,0.5533,0.0366,1.1477
DecisionTree_power_IPCW,LRRFS,777,133,44,0.5145,0.1733,0.9702
TabICL_naive,LRRFS,42,133,44,0.4887,0.0525,1.2302
TabICL_naive,LRRFS,123,133,44,0.5303,-0.1787,1.2478
TabICL_naive,LRRFS,2026,133,44,0.5845,0.1411,1.2205
TabICL_naive,LRRFS,777,133,44,0.5242,0.0777,1.2385
TabICL_uncensored,LRRFS,42,133,44,0.5286,0.0304,1.5878
TabICL_uncensored,LRRFS,123,133,44,0.5342,0.0965,1.5591
TabICL_uncensored,LRRFS,2026,133,44,0.5088,-0.0062,1.5495
TabICL_uncensored,LRRFS,777,133,44,0.4732,0.0367,1.5455
