label,seed,model,n,C_app,C_lo,C_hi,C_optimism_corr,CV_mean,CV_sd,NRI,IDI,CV_B_mean,CV_B_sd,CV_C_mean,CV_C_sd,CV_d_mean,CV_d_lo,CV_d_hi,NRI_C_vs_A,IDI_C_vs_A,NRI_B_vs_A,IDI_B_vs_A,NRI_diff,IDI_diff,HR,HR_lo,HR_hi,HR_p
LRRFS,42,HR_subsite_8,129,,,,,,,,,,,,,,,,,,,,,,2.8870500265872985,0.6129494043077919,13.59828037589915,0.1799488877297742
LRRFS,42,HR_Tx_3tier_1,129,,,,,,,,,,,,,,,,,,,,,,0.9465349141269584,0.4948016984607869,1.810681625484216,0.868133975455279
LRRFS,42,HR_Tx_3tier_2,129,,,,,,,,,,,,,,,,,,,,,,1.4053174845896412,0.6507146094290011,3.0349975302173364,0.3863980850494988
LRRFS,42,HR_HPV/P16_1,129,,,,,,,,,,,,,,,,,,,,,,0.3171466370583675,0.0146155910852931,6.881828371528662,0.4645178323901048
LRRFS,42,HR_HPV/P16_2,129,,,,,,,,,,,,,,,,,,,,,,0.6779863703907612,0.3608074572849226,1.2739911804889597,0.2272232180316216
LRRFS,123,A_clinical,129,0.7356577645895154,0.6030539070227497,0.7146513353115727,0.6021175657982615,0.5404993721175662,0.0930675690258237,,,,,,,,,,,,,,,,,,,
LRRFS,123,B_ajcc8th,129,0.7317012858555886,0.6110905044510385,0.7116963402571711,0.5964019271373762,0.5339862093916257,0.0857289265192981,,,,,,,,,,,,,,,,,,,
LRRFS,123,C_modified,129,0.7645895153313551,0.6594213649851632,0.7518051434223542,0.6537607246532546,0.6213056542890494,0.0694092944696482,,,,,,,,,,,,,,,,,,,
LRRFS,123,B_vs_A,129,,,,,,,0.5438596491228069,0.0118914228302652,,,,,,,,,,,,,,,,,
LRRFS,123,C_vs_A,129,,,,,,,1.060985797827903,0.0967797635075441,,,,,,,,,,,,,,,,,
LRRFS,123,C_vs_B,129,,,,,,,1.0292397660818713,0.0848883406772788,,,,,,,,,,,,,,,,,
LRRFS,123,S2_C_vs_B,129,,,,,,,1.0292397660818713,0.0848883406772788,0.5339862093916257,0.0857289265192981,0.6213056542890494,0.0694092944696482,0.0873194448974239,-0.00801499032882,0.2003333333333333,,,,,,,,,,
LRRFS,123,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.060985797827903,0.0967797635075441,0.5438596491228069,0.0118914228302652,0.517126148705096,0.0848883406772788,,,,
LRRFS,2026,A_clinical,129,0.7356577645895154,0.6103115727002968,0.712166172106825,0.6021957331292727,0.5444988185010465,0.0777235722482435,,,,,,,,,,,,,,,,,,,
LRRFS,2026,B_ajcc8th,129,0.7317012858555886,0.6079129574678536,0.713971315529179,0.5967465187780769,0.5365598541517174,0.0859415985976767,,,,,,,,,,,,,,,,,,,
LRRFS,2026,C_modified,129,0.7645895153313551,0.6613254203758655,0.7533382789317508,0.6553735498817063,0.6141488044088301,0.0857428870515545,,,,,,,,,,,,,,,,,,,
LRRFS,2026,B_vs_A,129,,,,,,,0.5438596491228069,0.0118914228302652,,,,,,,,,,,,,,,,,
LRRFS,2026,C_vs_A,129,,,,,,,1.060985797827903,0.0967797635075441,,,,,,,,,,,,,,,,,
LRRFS,2026,C_vs_B,129,,,,,,,1.0292397660818713,0.0848883406772788,,,,,,,,,,,,,,,,,
LRRFS,2026,S2_C_vs_B,129,,,,,,,1.0292397660818713,0.0848883406772788,0.5365598541517174,0.0859415985976767,0.6141488044088301,0.0857428870515545,0.0775889502571129,-0.0253521586017999,0.1717133620689654,,,,,,,,,,
LRRFS,2026,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.060985797827903,0.0967797635075441,0.5438596491228069,0.0118914228302652,0.517126148705096,0.0848883406772788,,,,
LRRFS,777,A_clinical,129,0.7356577645895154,0.6064910979228487,0.714824431256182,0.6077885074655227,0.5350425766142811,0.0908428396995834,,,,,,,,,,,,,,,,,,,
LRRFS,777,B_ajcc8th,129,0.7317012858555886,0.6158630069238379,0.715986646884273,0.602455399721763,0.5345662628660971,0.0878722773483541,,,,,,,,,,,,,,,,,,,
LRRFS,777,C_modified,129,0.7645895153313551,0.6622403560830861,0.7536226508407518,0.6593662238139342,0.611481962075044,0.0949543671435432,,,,,,,,,,,,,,,,,,,
LRRFS,777,B_vs_A,129,,,,,,,0.5438596491228069,0.0118914228302652,,,,,,,,,,,,,,,,,
LRRFS,777,C_vs_A,129,,,,,,,1.060985797827903,0.0967797635075441,,,,,,,,,,,,,,,,,
LRRFS,777,C_vs_B,129,,,,,,,1.0292397660818713,0.0848883406772788,,,,,,,,,,,,,,,,,
LRRFS,777,S2_C_vs_B,129,,,,,,,1.0292397660818713,0.0848883406772788,0.5345662628660971,0.0878722773483541,0.611481962075044,0.0949543671435432,0.0769156992089468,-0.0120454545454544,0.1426877051784389,,,,,,,,,,
LRRFS,777,S3_increment_C_vs_B,129,,,,,,,,,,,,,,,,1.060985797827903,0.0967797635075441,0.5438596491228069,0.0118914228302652,0.517126148705096,0.0848883406772788,,,,
