model,y,seed,var,importance
DecisionTree,PFS,2026,budding_01vs23,0.0
DecisionTree,PFS,2026,PNI,0.017754704737183664
DecisionTree,PFS,2026,LVI,0.07020487145329811
DecisionTree,PFS,2026,RM,0.0
DecisionTree,PFS,2026,TIL,0.06004082147384263
DecisionTree,PFS,2026,TSR,0.0
DecisionTree,PFS,2026,WPOI5_2tier,0.0
DecisionTree,PFS,2026,HPV/P16_1,0.0
DecisionTree,PFS,2026,HPV/P16_2,0.053036310507077876
DecisionTree,PFS,2026,CCRT_bin,0.042763282270495286
DecisionTree,PFS,2026,Node_known,0.0
DecisionTree,PFS,2026,bone invasion_known,0.0
DecisionTree,PFS,2026,depth of bone invasion (mm)_known,0.0
DecisionTree,PFS,2026,LN meta count_known,0.0
DecisionTree,PFS,2026,contra_bilateral_known,0.0
DecisionTree,PFS,2026,largest node (mm)_known,0.0
DecisionTree,PFS,2026,LN tumor size (mm)_known,0.06645732283185915
DecisionTree,PFS,2026,ENE_known,0.04475172765788456
DecisionTree,PFS,2026,N stage_known,0.0
DecisionTree,PFS,2026,subsite_2,0.0
DecisionTree,PFS,2026,subsite_3,0.023974913867902035
DecisionTree,PFS,2026,subsite_4,0.0
DecisionTree,PFS,2026,subsite_5,0.0
DecisionTree,PFS,2026,subsite_6,0.0
DecisionTree,PFS,2026,subsite_7,0.0
DecisionTree,PFS,2026,subsite_8,0.03841622775348765
DecisionTree,PFS,2026,Tx_3tier_1,0.03729483682634518
DecisionTree,PFS,2026,Tx_3tier_2,0.0
DecisionTree,PFS,777,age,0.10020713115615405
DecisionTree,PFS,777,성별,0.0
DecisionTree,PFS,777,tumor size (cm),0.09848331790913198
DecisionTree,PFS,777,DOI (mm),0.3517203268757514
DecisionTree,PFS,777,differentiation,0.05334656286337654
DecisionTree,PFS,777,budding_01vs23,0.012202834448882517
DecisionTree,PFS,777,PNI,0.0
DecisionTree,PFS,777,LVI,0.06706072922497866
DecisionTree,PFS,777,RM,0.0
DecisionTree,PFS,777,TIL,0.02520541500073372
DecisionTree,PFS,777,TSR,0.0
DecisionTree,PFS,777,WPOI5_2tier,0.0
DecisionTree,PFS,777,HPV/P16_1,0.0
DecisionTree,PFS,777,HPV/P16_2,0.03236951658123531
DecisionTree,PFS,777,CCRT_bin,0.026334557620895295
DecisionTree,PFS,777,Node_known,0.0
DecisionTree,PFS,777,bone invasion_known,0.010517654634565162
DecisionTree,PFS,777,depth of bone invasion (mm)_known,0.0
DecisionTree,PFS,777,LN meta count_known,0.0
DecisionTree,PFS,777,contra_bilateral_known,0.0
DecisionTree,PFS,777,largest node (mm)_known,0.08617304391911396
DecisionTree,PFS,777,LN tumor size (mm)_known,0.0
DecisionTree,PFS,777,ENE_known,0.020430846359097855
DecisionTree,PFS,777,N stage_known,0.0
DecisionTree,PFS,777,subsite_2,0.0
DecisionTree,PFS,777,subsite_3,0.02373436061368154
DecisionTree,PFS,777,subsite_4,0.02104579349954718
DecisionTree,PFS,777,subsite_5,0.0
DecisionTree,PFS,777,subsite_6,0.0
DecisionTree,PFS,777,subsite_7,0.023939656007579812
DecisionTree,PFS,777,subsite_8,0.0
DecisionTree,PFS,777,Tx_3tier_1,0.0
DecisionTree,PFS,777,Tx_3tier_2,0.04722825328527504
Logistic,DSS,42,age,0.3047367133989926
Logistic,DSS,42,성별,0.195789928769537
Logistic,DSS,42,tumor size (cm),0.6081540209907988
Logistic,DSS,42,DOI (mm),0.7287361602800171
Logistic,DSS,42,differentiation,0.8784776172589813
Logistic,DSS,42,budding_01vs23,0.3443604313091404
Logistic,DSS,42,PNI,0.28241823613330597
Logistic,DSS,42,LVI,0.4901652188686163
Logistic,DSS,42,RM,0.35482031113937573
Logistic,DSS,42,TIL,0.47521548201247726
Logistic,DSS,42,TSR,0.8329958413929314
Logistic,DSS,42,WPOI5_2tier,0.23421746536784793
Logistic,DSS,42,HPV/P16_1,0.035372238911934695
Logistic,DSS,42,HPV/P16_2,0.9515233676524488
Logistic,DSS,42,CCRT_bin,0.4515942070374074
Logistic,DSS,42,Node_known,0.12410807514503126
Logistic,DSS,42,bone invasion_known,0.25741740443526123
Logistic,DSS,42,depth of bone invasion (mm)_known,1.0278588636509762
Logistic,DSS,42,LN meta count_known,0.12410807514503126
Logistic,DSS,42,contra_bilateral_known,0.12410807514503126
Logistic,DSS,42,largest node (mm)_known,0.24662294035950588
Logistic,DSS,42,LN tumor size (mm)_known,0.24662294035950588
Logistic,DSS,42,ENE_known,0.24662294035950588
Logistic,DSS,42,N stage_known,0.16433763120564446
Logistic,DSS,42,subsite_2,0.34881093244364186
Logistic,DSS,42,subsite_3,0.3907093441568973
Logistic,DSS,42,subsite_4,0.43735953781472414
Logistic,DSS,42,subsite_5,0.3390607062247299
Logistic,DSS,42,subsite_6,0.22818316372228176
Logistic,DSS,42,subsite_7,1.0257757577547717
Logistic,DSS,42,subsite_8,0.08789196755718084
Logistic,DSS,42,Tx_3tier_1,0.3347885352996273
Logistic,DSS,42,Tx_3tier_2,0.15226201678646661
Logistic,DSS,123,age,0.21516744939157614
Logistic,DSS,123,성별,0.42102328421308366
Logistic,DSS,123,tumor size (cm),0.8246391018960301
Logistic,DSS,123,DOI (mm),0.9204366333476042
Logistic,DSS,123,differentiation,0.4122757964745807
Logistic,DSS,123,budding_01vs23,0.328032481714548
Logistic,DSS,123,PNI,0.29063411705693554
Logistic,DSS,123,LVI,0.2519375304761283
Logistic,DSS,123,RM,0.40911479691993247
Logistic,DSS,123,TIL,0.1898692821568031
Logistic,DSS,123,TSR,0.8214174299452196
Logistic,DSS,123,WPOI5_2tier,0.31122850317608
Logistic,DSS,123,HPV/P16_1,0.03110910460845891
Logistic,DSS,123,HPV/P16_2,0.6600957385169623
Logistic,DSS,123,CCRT_bin,0.39114116387587644
Logistic,DSS,123,Node_known,0.0755065332404399
Logistic,DSS,123,bone invasion_known,0.46206647560252706
Logistic,DSS,123,depth of bone invasion (mm)_known,1.2363371941121795
Logistic,DSS,123,LN meta count_known,0.0755065332404399
Logistic,DSS,123,contra_bilateral_known,0.0755065332404399
Logistic,DSS,123,largest node (mm)_known,0.16282861081031114
Logistic,DSS,123,LN tumor size (mm)_known,0.16282861081031114
Logistic,DSS,123,ENE_known,0.16282861081031114
Logistic,DSS,123,N stage_known,0.14661382513060645
Logistic,DSS,123,subsite_2,0.23911307034336615
Logistic,DSS,123,subsite_3,0.2962619417141282
Logistic,DSS,123,subsite_4,0.4059791734793577
Logistic,DSS,123,subsite_5,0.23354601755695917
Logistic,DSS,123,subsite_6,0.3152532394568724
Logistic,DSS,123,subsite_7,0.7378475338575745
Logistic,DSS,123,subsite_8,0.1938064006612341
Logistic,DSS,123,Tx_3tier_1,0.36920604749040475
Logistic,DSS,123,Tx_3tier_2,0.09724677894278799
Logistic,DSS,2026,age,0.33042758528617794
Logistic,DSS,2026,성별,0.5151926098095414
Logistic,DSS,2026,tumor size (cm),0.5467669405786166
Logistic,DSS,2026,DOI (mm),0.9942928280823553
Logistic,DSS,2026,differentiation,0.7683759270698658
Logistic,DSS,2026,budding_01vs23,0.3485874593425783
Logistic,DSS,2026,PNI,0.4252224392498115
Logistic,DSS,2026,LVI,0.5124606487557222
Logistic,DSS,2026,RM,0.286529941036384
Logistic,DSS,2026,TIL,0.4162053339227558
Logistic,DSS,2026,TSR,0.6133173255403142
Logistic,DSS,2026,WPOI5_2tier,0.4708350958355595
Logistic,DSS,2026,HPV/P16_1,0.10867770504789372
Logistic,DSS,2026,HPV/P16_2,0.5904540180133517
Logistic,DSS,2026,CCRT_bin,0.18823144772743802
Logistic,DSS,2026,Node_known,0.10721277337230166
Logistic,DSS,2026,bone invasion_known,0.264817395572674
Logistic,DSS,2026,depth of bone invasion (mm)_known,0.9627815820248633
Logistic,DSS,2026,LN meta count_known,0.10721277337230166
Logistic,DSS,2026,contra_bilateral_known,0.10721277337230166
Logistic,DSS,2026,largest node (mm)_known,0.14344779498177176
Logistic,DSS,2026,LN tumor size (mm)_known,0.14344779498177176
Logistic,DSS,2026,ENE_known,0.14344779498177176
Logistic,DSS,2026,N stage_known,0.1048796960144256
Logistic,DSS,2026,subsite_2,0.3984181437400659
Logistic,DSS,2026,subsite_3,0.39103247253167855
Logistic,DSS,2026,subsite_4,0.26153700341540925
Logistic,DSS,2026,subsite_5,0.22699980850809034
Logistic,DSS,2026,subsite_6,0.2192854471884563
Logistic,DSS,2026,subsite_7,0.7774863200450104
Logistic,DSS,2026,subsite_8,0.16480536967271028
Logistic,DSS,2026,Tx_3tier_1,0.17912421137709975
Logistic,DSS,2026,Tx_3tier_2,0.347634640207595
Logistic,DSS,777,age,0.35396871199921753
Logistic,DSS,777,성별,0.3148342129948047
Logistic,DSS,777,tumor size (cm),0.8187741015192774
Logistic,DSS,777,DOI (mm),1.0099578692758155
Logistic,DSS,777,differentiation,0.51528700472301
Logistic,DSS,777,budding_01vs23,0.29819674044185335
Logistic,DSS,777,PNI,0.4486319172781936
Logistic,DSS,777,LVI,0.5479793901225248
Logistic,DSS,777,RM,0.4335507168903387
Logistic,DSS,777,TIL,0.34728272239589264
Logistic,DSS,777,TSR,0.5576748046824622
Logistic,DSS,777,WPOI5_2tier,0.350989936844149
Logistic,DSS,777,HPV/P16_1,0.1075882045434686
Logistic,DSS,777,HPV/P16_2,0.8637178026629785
Logistic,DSS,777,CCRT_bin,0.38396225317705096
Logistic,DSS,777,Node_known,0.09989564720479263
Logistic,DSS,777,bone invasion_known,0.23533597865294453
Logistic,DSS,777,depth of bone invasion (mm)_known,0.8864209176015493
Logistic,DSS,777,LN meta count_known,0.09989564720479263
